City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,ziro,27.6333,93.8333,13.56,48,97,0.96,IN,1739003309
323,bakchar,57.0186,82.0711,-8.0,91,100,4.79,RU,1739003311
324,kapuskasing,49.4169,-82.4331,-11.95,79,100,3.09,CA,1739003054
325,la passe,45.5549,-0.8967,5.9,80,87,3.3,FR,1739003313
326,mount pearl,47.5166,-52.7813,0.08,93,100,4.12,CA,1739003314
327,gusinoozyorsk,51.2833,106.5,-22.5,96,85,1.11,RU,1739003315
328,kununurra,-15.7667,128.7333,25.99,94,100,0.51,AU,1739003317
329,ban houayxay,20.2453,100.4547,30.38,38,91,2.34,LA,1739003318
330,kone,-21.0595,164.8658,23.26,91,100,0.95,NC,1739003319
331,an nuhud,12.7,28.4333,24.33,14,13,9.79,SD,1739003320
332,ulundi,-28.3352,31.4162,28.02,60,13,3.22,ZA,1739003321
333,masterton,-40.9597,175.6575,15.05,87,0,1.09,NZ,1739003323
334,usogorsk,63.4106,48.6872,-2.46,96,98,2.57,RU,1739003324
335,ujae,8.9322,165.7642,27.31,79,98,7.49,MH,1739003325
336,saint-pierre,-21.3393,55.4781,32.82,62,0,10.29,RE,1739003326
337,ceeldheer,3.8488,47.1806,29.65,55,20,6.57,SO,1739003327
338,hailey,43.5196,-114.3153,-6.08,73,100,0.0,US,1739003328
339,colonia general alfredo stroessner,-25.3667,-55.7,20.3,97,2,1.68,PY,1739003330
340,sinabang,2.4803,96.3801,28.59,76,100,2.24,ID,1739003331
341,villa regina,-39.1,-67.0667,24.43,20,0,1.34,AR,1739003332
342,kotido,2.9806,34.1331,29.63,29,45,5.64,UG,1739003333
343,tubarjal,30.4999,38.216,8.69,44,8,7.46,SA,1739003334
344,utrik,11.2278,169.8474,26.39,78,56,7.37,MH,1739003335
345,enriquillo,17.9,-71.2333,21.89,88,9,4.65,DO,1739003337
346,katsuren-haebaru,26.3369,127.8719,13.21,54,75,7.2,JP,1739003338
347,umm kaddadah,13.6017,26.6876,22.33,15,8,9.85,SD,1739003339
348,haimen,23.1935,116.6142,13.59,61,33,8.67,CN,1739003340
349,polessk,54.862,21.1028,-0.6,73,15,7.15,RU,1739003341
350,walvis bay,-22.9575,14.5053,19.6,80,99,2.94,NA,1739003343
351,inonu,37.3167,33.7667,-4.25,82,92,1.07,TR,1739003345
352,taltal,-25.4,-70.4833,18.87,88,5,2.2,CL,1739003346
353,akrehamn,59.2667,5.1833,3.14,56,75,5.14,NO,1739003348
354,ballito,-29.539,31.2144,28.01,70,48,6.22,ZA,1739003349
355,ar ruways,24.1103,52.7306,19.62,74,99,6.27,AE,1739003350
356,pacific grove,36.6177,-121.9166,8.94,91,3,0.45,US,1739003351
357,mogok,22.9167,96.5,24.69,24,0,1.95,MM,1739003352
358,menaka,15.9182,2.4022,24.33,13,6,5.06,ML,1739003354
